Agg_Date,Agg,SPX_Date,SPX
1/3/2000,829.39,1/3/2000,2002.11
1/4/2000,832.53,1/4/2000,1925.41
1/5/2000,828.84,1/5/2000,1929.28
1/6/2000,831.02,1/6/2000,1931.51
1/7/2000,833.27,1/7/2000,1983.83
1/10/2000,831.98,1/10/2000,2006.07
1/11/2000,828.11,1/11/2000,1979.92
1/12/2000,827.04,1/12/2000,1971.36
1/13/2000,830.78,1/13/2000,1995.35
1/14/2000,829.45,1/14/2000,2016.64
1/18/2000,827.44,1/18/2000,2002.88
1/19/2000,828.56,1/19/2000,2004.02
1/20/2000,827.42,1/20/2000,1989.81
1/21/2000,828.15,1/21/2000,1984.01
1/24/2000,831.84,1/24/2000,1929.2
1/25/2000,832.09,1/25/2000,1940.9
1/26/2000,832.89,1/26/2000,1932.78
1/27/2000,833.28,1/27/2000,1925.31
1/28/2000,833.71,1/28/2000,1872.61
1/31/2000,831.02,1/31/2000,1919.84
2/1/2000,832.85,2/1/2000,1940.24
2/2/2000,833.29,2/2/2000,1940.21
2/3/2000,837.01,2/3/2000,1962.21
2/4/2000,834.8,2/4/2000,1961.44
2/7/2000,832.17,2/7/2000,1961.3
2/8/2000,834.91,2/8/2000,1985.49
2/9/2000,832.82,2/9/2000,1944.57
2/10/2000,831.01,2/10/2000,1951.65
2/11/2000,832.34,2/11/2000,1910.92
2/14/2000,835.87,2/14/2000,1914.88
2/15/2000,834.92,2/15/2000,1931.58
2/16/2000,834.2,2/16/2000,1912.12
2/17/2000,833.98,2/17/2000,1912.96
2/18/2000,836.8,2/18/2000,1854.85
2/22/2000,842.3,2/22/2000,1863.26
2/23/2000,839.54,2/23/2000,1875.16
2/24/2000,842.36,2/24/2000,1865.2
2/25/2000,842.26,2/25/2000,1837.7
2/28/2000,839.67,2/28/2000,1858.17
2/29/2000,841.07,2/29/2000,1883.5
3/1/2000,841.86,3/1/2000,1901.51
3/2/2000,842.06,3/2/2000,1905.09
3/3/2000,843.75,3/3/2000,1942.89
3/6/2000,842.64,3/6/2000,1918.44
3/7/2000,843.47,3/7/2000,1869.33
3/8/2000,843.32,3/8/2000,1884.81
3/9/2000,843.92,3/9/2000,1933.11
3/10/2000,842.1,3/10/2000,1923.98
3/13/2000,842.9,3/13/2000,1908.42
3/14/2000,843.82,3/14/2000,1874.69
3/15/2000,844.62,3/15/2000,1920.28
3/16/2000,845.8,3/16/2000,2012.03
3/17/2000,847.89,3/17/2000,2020.31
3/20/2000,848.36,3/20/2000,2009.53
3/21/2000,848.94,3/21/2000,2060.9
3/22/2000,849.03,3/22/2000,2070.27
3/23/2000,850.33,3/23/2000,2107.13
3/24/2000,846.87,3/24/2000,2107.28
3/27/2000,846.66,3/27/2000,2102.31
3/28/2000,846.7,3/28/2000,2080.08
3/29/2000,846.86,3/29/2000,2081.45
3/30/2000,850.42,3/30/2000,2053.05
3/31/2000,852.15,3/31/2000,2067.76
4/3/2000,853.81,4/3/2000,2077.97
4/4/2000,859.15,4/4/2000,2062.53
4/5/2000,857.83,4/5/2000,2052.52
4/6/2000,856.84,4/6/2000,2072.15
4/7/2000,859,4/7/2000,2092.87
4/10/2000,860.69,4/10/2000,2076.46
4/11/2000,857.32,4/11/2000,2071.22
4/12/2000,854.77,4/12/2000,2025.23
4/13/2000,856.75,4/13/2000,1988.43
4/14/2000,858.42,4/14/2000,1872.55
4/17/2000,855.34,4/17/2000,1934.5
4/18/2000,854.8,4/18/2000,1990.04
4/19/2000,857.34,4/19/2000,1970.58
4/20/2000,857.65,4/20/2000,1980.36
4/24/2000,857.55,4/24/2000,1973.91
4/25/2000,853.59,4/25/2000,2039.6
4/26/2000,852.97,4/26/2000,2017.04
4/27/2000,849.11,4/27/2000,2022.68
4/28/2000,849.71,4/28/2000,2005.55
5/1/2000,849.15,5/1/2000,2027.4
5/2/2000,847.6,5/2/2000,1997.09
5/3/2000,843.89,5/3/2000,1954.23
5/4/2000,840.16,5/4/2000,1946.65
5/5/2000,837.8,5/5/2000,1978.52
5/8/2000,836.17,5/8/2000,1967.01
5/9/2000,837.76,5/9/2000,1950.5
5/10/2000,839.81,5/10/2000,1910.79
5/11/2000,840.38,5/11/2000,1945.38
5/12/2000,836.72,5/12/2000,1963.59
5/15/2000,838.67,5/15/2000,2007.03
5/16/2000,840.74,5/16/2000,2025.96
5/17/2000,839.63,5/17/2000,2000.94
5/18/2000,836.75,5/18/2000,1986.4
5/19/2000,838.39,5/19/2000,1944.65
5/22/2000,841.96,5/22/2000,1936.04
5/23/2000,841.55,5/23/2000,1898.94
5/24/2000,841.45,5/24/2000,1933.85
5/25/2000,845.05,5/25/2000,1909.67
5/26/2000,847.56,5/26/2000,1904.98
5/30/2000,845.97,5/30/2000,1966.59
5/31/2000,849.32,5/31/2000,1964.4
6/1/2000,853.76,6/1/2000,2003.45
6/2/2000,857.47,6/2/2000,2042.79
6/5/2000,860.38,6/5/2000,2029.5
6/6/2000,860.4,6/6/2000,2015.98
6/7/2000,860.41,6/7/2000,2034.91
6/8/2000,860.28,6/8/2000,2021.56
6/9/2000,860.13,6/9/2000,2015.03
6/12/2000,862.06,6/12/2000,1999.92
6/13/2000,862.08,6/13/2000,2032.58
6/14/2000,864.54,6/14/2000,2034.19
6/15/2000,864.3,6/15/2000,2045.52
6/16/2000,867.43,6/16/2000,2026
6/19/2000,866.7,6/19/2000,2055.83
6/20/2000,865.63,6/20/2000,2041.94
6/21/2000,862.37,6/21/2000,2046.35
6/22/2000,861.36,6/22/2000,2009.13
6/23/2000,859.33,6/23/2000,1994.33
6/26/2000,862.47,6/26/2000,2013.46
6/27/2000,863.16,6/27/2000,2006.88
